Nom^Equip^Posicio^Altura^Pes^Edat
Adam Donachie^BAL^Base^198.81^76.95^23
Paul Bako^BAL^Base^198.81^91.91^35
Ramon Hernandez^BAL^Base^193.42^89.78^31
Kevin Millar^BAL^Pivot^193.42^89.78^35
Chris Gomez^BAL^Pivot^196.11^80.37^36
Brian Roberts^BAL^Aler^185.37^75.24^29
Miguel Tejada^BAL^Ala-pivot^185.37^89.35^31
Melvin Mora^BAL^Aler^190.75^85.5^35
Aubrey Huff^BAL^Aler^204.17^98.75^30
Adam Stern^BAL^Escorta^190.75^76.95^27
Jeff Fiorentino^BAL^Escorta^196.11^80.37^24
Freddie Bynum^BAL^Escorta^196.11^76.95^27
Nick Markakis^BAL^Escorta^198.81^79.09^23
Brandon Fahey^BAL^Escorta^198.81^68.4^26
Corey Patterson^BAL^Escorta^185.37^76.95^28
Jay Payton^BAL^Escorta^188.06^79.09^34
Jay Gibbons^BAL^Aler^193.42^84.22^30
Erik Bedard^BAL^Base^196.11^80.8^28
Hayden Penn^BAL^Base^201.5^79.09^22
Adam Loewen^BAL^Base^209.55^93.62^23
Daniel Cabrera^BAL^Base^212.24^98.33^26
Steve Trachsel^BAL^Base^204.17^87.64^36
Jaret Wright^BAL^Base^198.81^98.33^31
Kris Benson^BAL^Base^204.17^83.36^32
Scott Williamson^BAL^Pivot^193.42^76.95^31
John Parrish^BAL^Pivot^190.75^82.08^29
Danys Baez^BAL^Pivot^201.5^96.19^29
Chad Bradford^BAL^Pivot^206.86^86.78^32
Jamie Walker^BAL^Pivot^198.81^83.36^36
Brian Burres^BAL^Pivot^196.11^77.81^26
Kurt Birkins^BAL^Pivot^198.81^80.37^27
James Hoey^BAL^Pivot^209.55^85.5^24
Sendy Rleal^BAL^Pivot^196.11^76.95^27
Chris Ray^BAL^Pivot^201.5^85.5^25
Jeremy Guthrie^BAL^Pivot^196.11^85.5^28
A.J. Pierzynski^CWS^Base^201.5^104.74^30
Toby Hall^CWS^Base^201.5^102.6^31
Paul Konerko^CWS^Pivot^198.81^91.91^31
Tadahito Iguchi^CWS^Aler^185.37^79.09^32
Juan Uribe^CWS^Ala-pivot^190.75^74.81^28
Alex Cintron^CWS^Ala-pivot^198.81^85.07^28
Joe Crede^CWS^Aler^196.11^85.5^29
Josh Fields^CWS^Aler^196.11^91.91^24
Ryan Sweeney^CWS^Escorta^204.17^85.5^22
Brian N. Anderson^CWS^Escorta^198.81^87.64^25
Luis Terrero^CWS^Escorta^198.81^88.06^27
Pablo Ozuna^CWS^Escorta^188.06^79.52^33
Scott Podsednik^CWS^Escorta^193.42^80.37^31
Jermaine Dye^CWS^Escorta^206.86^94.05^33
Darin Erstad^CWS^Escorta^198.81^89.78^33
Rob Mackowiak^CWS^Escorta^188.06^83.36^31
Jim Thome^CWS^Aler^204.17^104.31^37
Jerry Owens^CWS^Aler^201.5^83.36^26
Charlie Haeger^CWS^Base^196.11^85.5^23
Heath Phillips^CWS^Base^201.5^85.5^25
Gavin Floyd^CWS^Base^204.17^90.63^24
Jose Contreras^CWS^Base^204.17^95.76^35
